Key,koreana
scavengeFuelTip_title,"UL / 휘발유 모으기"
scavengeFuelTip,"자체적으로 [decea3]휘발유[-]를 생산하기까지는 좀 시간이 걸릴 수 있습니다.그래서 그 전까지는 [decea3]휘발유[-]를 [decea3]가스 펌프[-]나 [decea3]연료, 기름 배럴[-]등에서 얻어야 할 것입니다.그런 것들을 발견하면 [decea3]빈 연료통이나 드럼통[-]을 들고 상호작용하면 내용물이 약간 찬 [decea3]연료통이나 드럼통[-]을 얻을 수 있을 것입니다.\n\n얻을 수 있는 [decea3]휘발유[-]의 양은 추출한 곳에 연료가 얼마나 있었는지에 따라 다릅니다.\n\n나중에 많이 발전하게 되면 [decea3]원유 추출기[-]를 만들 수 있을 거고, 엄청난 양의 [decea3]휘발유[-]를 얻을 수 있을 겁니다."
searchInventoryTip_title,"UL / 인벤토리 / 검색"
searchInventoryTip,"가방, 저장소나 차량 적재함에서 [decea3]검색[-] 버튼으로 아이템을 검색할 수 있습니다.\n\n아이템 이름으로 필터링하여 원하는 아이템을 빨리 찾을 수 있습니다. 입력한 아이템 이름을 지우거나 [decea3]검색[-] 버튼을 다시 누르면 전체 목록을 다시 볼 수 있습니다."
vehicleEncumbranceTip_title,"UL / 차량 / 과적"
vehicleEncumbranceTip,"플레이어처럼, 차량도 각자 과적 한계를 가지고 있습니다. 그렇지만 플레이어와는 다르게 과적 한계에 다다르면 차량은 작동하거나 움직이지 않을 것입니다.\n\n차량 과적 수치는 탑승하고 있는 모든 승객의 배낭 무게와 차량 적재 중량의 합산으로 계산됩니다.\n\n운전사와 승객이 차량에 탑승하면 속도계 아래에 과적 막대 바로 과적 한계까지 얼마의 무게가 남았는지 확인할 수 있습니다. 만약 과적 상태가 되면 속도계 옆에 이를 알려주는 아이콘이 생길 겁니다."
abandonedVehicleRepairTip_title,"UL / 차량 / 수리"
abandonedVehicleRepairTip,"가끔 수리 가능한 차량을 발견할 수도 있습니다. 차량의 종류에 따라 수리에 필요한 키트가 다릅니다.\n자전거 - 자전거 수리 키트,\n미니바이크 - 미니바이크 수리 키트,\n오토바이 - 오토바이 수리 키트,\n자동차 - 자동차 수리 키트,\n두돈반 트럭 - 트럭 수리 키트.\n\n[decea3]수리 가능[-]한 차량을 수리하려면 [decea3]렌치[-], [decea3]라쳇[-] 또는 [decea3]임팩트 드라이버[-]을 손에 들고 인벤토리에 차량의 종류와 매칭되는 [decea3]수리 키트[-]를 가지고 있어야 합니다. 그리고 [decea3]수리 가능[-]한 차량 앞에 서서 상호 작용 키(기본: [decea3]E[-])를 누른 채 나오는 다이얼 메뉴에서 수리 항목을 선택하여 수리할 수 있습니다."
scavengeTitaniumTip_title,"UL / 티타늄 얻기"
scavengeTitaniumTip,"[decea3]티타늄[-]은 굉장히 희귀하고 많이 찾는 자원으로써 가장 고급 아이템을 제작하는 데 사용됩니다.\n\n[decea3]황무지[-]는 [decea3]티타늄[-] 광석을 찾을 수 있는 유일한 장소입니다. 티타늄을 안전하게 얻고 싶다면 곳곳의 보관함에서 [decea3]획득[-]하거나 [decea3]상인[-]에게 구매하는 방법이 있고 나중에는 수확 주기마다 약간의 확률로 [decea3]티타늄[-]을 얻을 수 있는 [decea3]광석 추출기[-]를 통해 획득할 수 있습니다."
pinRecipeTip_title,"UL / 인벤토리 / 제작법 고정"
pinRecipeTip,"특정 아이템을 만들 때 들어가는 재료들을 계속 확인하려면 제작법을 고정하는 기능을 사용하면 됩니다. 해당 기능을 사용하면 화면 왼쪽에 제작법이 고정되며, 버튼을 다시 클릭하면 고정한 핀이 사라집니다. 이미 활성화 되어 있는 핀을 제거하려면 X 버튼을 클릭하면 됩니다.\n\n고정된 제작법의 재료 아이콘은 현재 인벤토리에 있는 아이템들을 확인해서 실시간으로 수량 변화를 체크할 수 있습니다.\n\n한 번에 하나의 제작법만 고정할 수 있다는 걸 잊지 마세요."
lockInventorySlotsTip_title,"UL / 인벤토리 / 슬롯 잠그기"
lockInventorySlotsTip,"당신의 인벤토리 슬롯 위에 마우스를 올리고 [decea3][L][-]키를 눌러 잠글 수 있습니다.잠긴 슬롯에 있는 아이템들은 창고로 이동하기 전까지는 무게, 가격, 유형이나 이름으로 정렬해도 움직이지 않습니다.\n\n잠긴 인벤토리 슬롯을 다시 해제하고 싶다면 슬롯 위에 마우스를 올리고 [decea3][L][-]키를 눌러 해제하세요. 기본적으로 설정되어 있는 키를 바꾸려면:\n[decea3]옵션-> 컨트롤 -> UI -> 인벤토리 슬롯 잠금[-]"
researchSystemTip_title,"UL / 제작 / 연구"
researchSystemTip,"연구 시스템을 통해 새로운 제작법을 해금하고 더 좋은 품질의 아이템을 만들 수 있습니다.\n\n[decea3]연구소[-]를 만들어야 새로운 연구를 시작할 수 있으며, [decea3]연구 자료[-]와 필요 재료들을 같이 사용하여 새로운 제작법을 해금할 수 있습니다. 좋은 품질의 아이템을 제작하기 위해서 만들어야 하는 [decea3]정비소[-]에서는 품질 향상과 수리를 할 수 있습니다. 높은 티어와 높은 퀄리티의 아이템으로 강화하기 위해서는 더 높은 티어의 [decea3]정비소[-]를 만들어야 합니다.\n\n[decea3]연구 자료[-]는 각종 도면, 도전 퀘스트 쪽지와 보물 지도를 분해하여 얻을 수 있습니다.[decea3]분해용 작업대[-]에서 특정 아이템을 분해하면 [decea3]연구 자료[-]를 획득할 수 있기도 합니다."
vehicleFeatureToggleTip_title,"UL / 차량 / 추가 조작"
vehicleFeatureToggleTip,"일부 차량은 [decea3][Q][-]나 [decea3][R]키 같은 [-]추가적인 조작 키를 통해 상호작용 할 수 있습니다. 예를 들면 순찰차의 사이렌이나 택시의 지붕 표시등은 [decea3][Q][-]나 [decea3][R][-]키로 켜고 끌 수 있습니다.\n\n기본적으로 설정되어 있는 키를 바꾸려면:\n[decea3]옵션-> 컨트롤 -> 차량 -> 지붕 표시등 점등 또는 사이렌 점등[-]"
journalNutrition_title,"영양 섭취"
journalNutrition,"황무지에서 건강을 유지하는 것은 쉬운 일이 아니지만, 여러분에게 요점만 알려드리겠습니다.\n\n기억해야 할 4가지 주요 영양소 : 지방, 탄수화물, 단백질, 비타민\n\n첫 3가지 영양소는 전체적인 에너지 수준(칼로리)을 결정합니다. 비타민은 면역 체계의 강도를 결정합니다.\n\n칼로리가 0보다만 높으면 죽진 않고 비타민이 0인 것이 죽음을 의미하는 것은 아니지만, 질병에 더 많이 노출됩니다.\n\n4개의 모든 영양소를 75% 이상으로 관리한다면 건강함 수치가 올라갑니다. 만약 4개의 영양소 중 하나라도 25% 이하로 떨어진다면 건강함 수치가 떨어집니다.\n\n건강함은 0 이하로 내려갈 수 없으며 각 건강함 포인트는 아래의 보너스들을 제공합니다.\n- 최대 체력 1 증가\n- 최대 스태미너 1 증가\n- 최대 운반 무게 1 증가\n- 경험치 획득 보너스 1%\n\n칼로리가 0이 되면 죽어가기 시작합니다.\n- 패시브로 체력 회복 불가\n- 매 분 체력 2 손실\n- 스태미너 재생 속도 저하\n- 스태미너 재생 속도 저하가 최대 스태미너 감소 유발\n- 즉시 음식을 섭취해야 함."
journalTutorialQuest_title,"UL / 소개"
journalTutorialQuest,"[decea3]Undead Legacy[-]에 오신 것을 환영합니다!\n\n당신의 도구 벨트에 [decea3]생존 배낭[-]을 지급해 드렸으니, 땅에 배치하고 상호작용하여 초반에 유용한 장비를 얻으세요.\n\n[decea3]중요![-]\n일지에서 [decea3]UL[-] 항목으로 분류된 문서를 확인하면 [decea3]Undead Legacy[-]만의 복잡하고 독특한 시스템에 대해 알 수 있을 겁니다."
journalTutorialQuestSkipped_title,"UL / 소개"
journalTutorialQuestSkipped,"[decea3]Undead Legacy[-]에 오신 것을 환영합니다!\n\n당신의 도구 벨트에 [decea3]생존 배낭[-]을 지급해 드렸으니, 땅에 배치하고 상호작용하여 초반에 유용한 장비를 얻으세요.\n\n[decea3]중요![-]\n\n[decea3]중요![-]\n일지에서 [decea3]UL[-] 항목으로 분류된 문서를 확인하면 [decea3]Undead Legacy[-]만의 복잡하고 독특한 시스템에 대해 알 수 있을 겁니다."
animalBossGrace,"변종 거대 멧돼지 그레이스"
animalCoyote,"코요테"
animalDireWolf,"다이어울프"
animalMountainLion,"퓨마"
animalSnake,"뱀"
animalWolf,"늑대"
animalZombieBear,"좀비 곰"
animalZombieVultureRadiated,"방사능 독수리"
zombieArlene,"부패 소녀"
zombieArleneFeral,"흉포한 부패 소녀"
zombieArleneRadiated,"방사능 부패 소녀"
zombieBiker,"좀비 바이커"
zombieBikerFeral,"흉포한 바이커"
zombieBikerRadiated,"방사능 바이커"
zombieBoe,"감염 생존자"
zombieBoeFeral,"흉포한 감염 생존자"
zombieBoeRadiated,"방사능 감염 생존자"
zombieBurnt,"화상 피해자"
zombieBurntFeral,"흉포한 화상 피해자"
zombieBurntRadiated,"방사능 화상 피해자"
zombieBusinessMan,"좀비 회사원"
zombieBusinessManFeral,"흉포한 좀비 회사원"
zombieBusinessManRadiated,"방사능 좀비 회사원"
zombieDarlene,"부패한 모체"
zombieDarleneFeral,"흉포한 모체"
zombieDarleneRadiated,"방사능 모체"
zombieDemolition,"자폭 좀비"
zombieFatCop,"감염 경찰"
zombieFatCopFeral,"흉포한 경찰"
zombieFatCopRadiated,"방사능 경찰"
zombieFatHawaiian,"불안한 관광객"
zombieFatHawaiianFeral,"흉포한 관광객"
zombieFatHawaiianRadiated,"방사능 관광객"
zombieFemaleFat,"배고픈 좀비"
zombieFemaleFatFeral,"흉포한 배고픈 좀비"
zombieFemaleFatRadiated,"방사능 배고픈 좀비"
zombieJanitor,"청소부 좀비"
zombieJanitorFeral,"흉포한 청소부 좀비"
zombieJanitorRadiated,"방사능 청소부 좀비"
zombieJoe,"썩은 시체"
zombieJoeFeral,"흉포한 썩은 시체"
zombieJoeRadiated,"방사능 썩은 시체"
zombieLab,"감염된 과학자"
zombieLabFeral,"흉포한 과학자"
zombieLabRadiated,"방사능 과학자"
zombieMaleHazmat,"유해 노동자"
zombieMaleHazmatFeral,"흉포한 유해 노동자"
zombieMaleHazmatRadiated,"방사능 유해 노동자"
zombieMarlene,"사망한 여성"
zombieMarleneFeral,"흉포한 여성"
zombieMarleneRadiated,"방사능 여성"
zombieMoe,"부푼 행인"
zombieMoeFeral,"흉포한 부푼 행인"
zombieMoeRadiated,"방사능 부푼 행인"
zombieNurse,"고통 받는 간호사"
zombieNurseFeral,"흉포한 간호사"
zombieNurseRadiated,"방사능 간호사"
zombieScreamer,"비명 좀비"
zombieScreamerFeral,"흉포한 비명 좀비"
zombieScreamerRadiated,"방사능 비명 좀비"
zombieSkateboarder,"폭력배"
zombieSkateboarderFeral,"흉포한 폭력배"
zombieSkateboarderRadiated,"방사능 폭력배"
zombieLumberjack,"감염된 벌목꾼"
zombieLumberjackFeral,"흉포한 벌목꾼"
zombieLumberjackRadiated,"방사능 벌목꾼"
zombieSoldier,"군인"
zombieSoldierFeral,"흉포한 군인"
zombieSoldierRadiated,"방사능 군인"
zombieSpider,"거미 좀비"
zombieSpiderFeral,"흉포한 거미 좀비"
zombieSpiderRadiated,"방사능 거미 좀비"
zombieSteve,"되살아난 시체"
zombieSteveFeral,"흉포한 시체"
zombieSteveRadiated,"방사능 시체"
zombieTomClark,"쉬지 못하는 좀비"
zombieTomClarkFeral,"흉포한 좀비"
zombieTomClarkRadiated,"방사능 좀비"
zombieWightFeral,"흉포한 혼령"
zombieWightRadiated,"방사능 혼령"
zombieUtilityWorker,"좀비 전기공"
zombieUtilityWorkerFeral,"흉포한 좀비 전기공"
zombieUtilityWorkerRadiated,"방사능 좀비 전기공"
zombieYo,"부식된 시체"
zombieYoFeral,"흉포한 부식 시체"
zombieYoRadiated,"방사능 부식 시체"
npcTraderEllen,"엘런"
npcTraderEthan,"에단"
npcTraderMaxton,"맥스톤"
npcTraderLogan,"로건"
npcTraderRaiden,"레이든"
npcTraderHagen,"하겐"
npcTraderRyan,"라이언"
ulmSpawnerTraderEllen,"스포너: 엘런"
ulmSpawnerTraderEthan,"스포너: 에단"
ulmSpawnerTraderMaxton,"스포너: 맥스톤"
ulmSpawnerTraderLogan,"스포너: 로건"
ulmSpawnerTraderRaiden,"스포너: 레이든"
ulmSpawnerTraderHagen,"스포너: 하겐"
ulmSpawnerTraderRyan,"스포너: 라이언"
adhesive,"접착제"
branch,"나뭇가지"
brass,"황동"
clay,"점토"
cloth,"천"
coal,"석탄"
copper,"구리"
cotton,"목화"
electronics,"전자 부품"
feather,"깃털"
fiber,"식물 섬유"
glass,"유리"
gold,"금"
iron,"철"
knowledge,"스킬 노트"
lead,"납"
leather,"가죽"
misc,"잡화"
meleeToolChainsawParts,"자동차 부품"
organic,"유기물"
paper,"종이"
plastic,"플라스틱"
plants,"식물"
potassium,"질산염"
research,"연구"
rubber,"고무"
sand,"모래"
silver,"은"
shale,"오일 셰일"
steel,"강철"
stick,"나무 막대"
stone,"돌"
sulfur,"유황"
titanium,"티타늄"
wood,"나무"
unit_brass,"황동"
unit_clay,"점토"
unit_coal,"석탄"
unit_copper,"구리"
unit_glass,"모래"
unit_gold,"금"
unit_iron,"철"
unit_lead,"납"
unit_silver,"은"
unit_stone,"돌"
unit_titanium,"티타늄"
ulmObsoleteItemDesc,"이 아이템은 더 이상 언데드 레거시에서 쓰이지 않습니다.폐기하거나 상인에게 파세요."
ammo9mmBulletBall,"9mm 탄약"
ammo9mmBulletBallDesc,"9mm [decea3]표준[-] 탄약이며, 일반적으로 [decea3]소구경 권총[-]에 사용됩니다."
ammo9mmBulletHP,"9mm 탄약 (HP)"
ammo9mmBulletHPDesc,"9mm [decea3]할로우-포인트[-] 탄약이며, 좋은 관통력과 명중률 덕에 기본 [decea3]소구경 권총[-] 탄약의 대체품입니다. 높은 살상력 때문에 대부분의 지역에서는 사용이 금지되었습니다."
ammo9mmBulletAP,"9mm 탄약 (AP)"
ammo9mmBulletAPDesc,"9mm [decea3]방어구 관통[-] 탄약이며, 표준 탄약보다 매우 높은 관통력으로 [decea3]소구경 권총[-]에서 자주 사용됩니다."
ammo44MagnumBulletBall,"44 구경 탄약"
ammo44MagnumBulletBallDesc,"44 구경 [decea3]표준[-] 탄약이며, 일반적으로 [decea3]대구경 권총[-]에 사용됩니다."
ammo44MagnumBulletHP,"44 구경 탄약 (HP)"
ammo44MagnumBulletHPDesc,"44 구경 [decea3]할로우-포인트[-] 탄약이며, 좋은 관통력과 명중률 덕에 기본 [decea3]대구경 권총[-] 탄약의 대체품입니다. 높은 살상력 때문에 대부분의 지역에서는 사용이 금지되었습니다."
ammo44MagnumBulletAP,"44 구경 탄약 (AP)"
ammo44MagnumBulletAPDesc,"44 구경 [decea3]방어구 관통[-] 탄약이며, 표준 탄약보다 매우 높은 관통력으로 [decea3]대구경 권총[-]에서 자주 사용됩니다."
ammo762mmBulletBall,"7.62mm 탄약"
ammo762mmBulletBallDesc,"7.62mm [decea3]표준[-] 탄약이며, 일반적으로 [decea3]돌격 소총[-]에 사용됩니다."
ammo762mmBulletHP,"7.62mm 탄약 (HP)"
ammo762mmBulletHPDesc,"7.62mm [decea3]할로우-포인트[-] 탄약이며, 좋은 관통력과 명중률 덕에 기본 [decea3]돌격 소총[-] 탄약의 대체품입니다. 높은 살상력 때문에 대부분의 지역에서는 사용이 금지되었습니다."
ammo762mmBulletAP,"7.62mm 탄약 (AP)"
ammo762mmBulletAPDesc,"7.62mm [decea3]방어구 관통[-] 탄약이며, 표준 탄약보다 매우 높은 관통력으로 [decea3]돌격 소총[-]에서 자주 사용됩니다."
ammoBlunderbuss,"나팔총 탄약"
ammoBlunderbussDesc,"나팔총 탄약은 종이와 화약, 그리고 작은 돌멩이로 제작할 수 있습니다."
ammoArrowExploding,"폭발 화살"
ammoArrowFlaming,"불 화살"
ammoArrowIron,"철 화살"
ammoArrowSteelAP,"강철 화살"
ammoArrowStone,"돌 화살"
ammoCrossbowBoltFlaming,"불 석궁 볼트"
ammoCrossbowBoltExploding,"폭발 석궁 볼트"
ammoCrossbowBoltExplodingDesc,"대충 만들었지만, 강력한 일격을 날릴 수 있습니다. 대부분의 표준 석궁과 호환됩니다."
ammoCrossbowBoltIron,"철 석궁 볼트"
ammoCrossbowBoltIronDesc,"촉이 철로 되어 있는 볼트입니다. 대부분의 표준 석궁과 호환됩니다."
ammoCrossbowBoltSteelAP,"강철 석궁 볼트"
ammoCrossbowBoltSteelAPDesc,"촉이 강철로 되어 있는 볼트입니다. 대부분의 표준 석궁과 호환됩니다."
ammoCrossbowBoltStone,"돌 석궁 볼트"
ammoCrossbowBoltStoneDesc,"촉이 돌로 되어 있는 볼트입니다. 대부분의 표준 석궁과 호환됩니다."
ammoGasCanSchematic,"연료통 도면"
ammoGasCanSchematicDesc,"[decea3]연료통[-]을 만드는 방법에 대한 설명서입니다."
ammoRocketHE,"로켓 탄약"
ammoRocketHEDesc,"로켓 런쳐의 탄약으로 사용됩니다."
ammoRocketFrag,"파쇄 로켓 탄약"
ammoRocketFragDesc,"로켓 런쳐의 탄약으로 사용되는 파쇄 로켓 탄약입니다."
ammoShotgunShell,"샷건 탄약"
ammoShotgunShellDesc,"가장 흔한 12x50mm 샷건 탄약입니다. 탄약은 여러 개의 작은 펠릿으로 분리되어 대상을 타격합니다."
ammoShotgunSlug,"샷건 슬러그 탄약"
ammoShotgunSlugDesc,"표준 샷건 탄약보다 추가 피해를 입히는 12x50mm 슬러그 탄약입니다. 슬러그 탄약은 하나의 납구슬로 구성되어 있습니다."
armorClothGroupDesc,"이동속도에는 영향이 없고, 약간의 방어력이 있으며 날씨에 대한 저항력은 없습니다."
armorLeatherGroupDesc,"이동속도에 약간 지장이 있고 약간의 방어력이 있으며 날씨에 대한 저항력은 없습니다."
armorMilitaryGroupDesc,"이동속도에 약간 지장이 있고 약간의 방어력이 있으며 날씨에 대한 저항력은 없습니다."
armorMiningHelmetDesc,"뛰어난 방어력을 제공하고 광산이나 건설현장에서 자주 필요로 합니다."
armorMilitaryStealthBootsDesc,"이 부츠는 스태미너 소모 페널티와 이동으로 인한 소음이 없습니다"
armorHeavyGroupDesc,"이동속도에 매우 지장이 있고 좋은 방어력을 가지며 날씨에 대한 저항력이 없습니다."
armorSteelGroupDesc,"이동속도에 매우 지장이 있고 좋은 방어력을 가지며 날씨에 대한 저항력이 없습니다."
drugSteroids,"스테로이드"
drugSteroidsDesc,"더 많은 아이템을 들 수 있고 사지가 삐었거나 부러졌을 때에도 정상적으로 이동 및 액션을 수행할 수 있습니다."
apparelNightvisionGoggles,"야간 투시경"
apparelNightvisionGogglesDesc,"이 야간 투시경은 얼굴을 약간 보호해주고 작동하면 어둠 속에서도 더 잘 볼 수 있습니다."
autoTurretSchematic,"SMG 자동 포탑 도면"
batterybankSchematic,"배터리 저장고 도면"
bladeTrapSchematic,"칼날 함정 도면"
bucketEmpty,"빈 양동이"
bucketEmptyDesc,"물을 옮겨 담는 데 사용됩니다.\n[decea3]강, 호수, 수영장의 물은 너무 독성이 강해 물을 담을 수 없습니다.[-]"
carBattery,"납 배터리"
cementMixerSchematic,"시멘트 믹서 도면"
chemistryStationSchematic,"화학 실험대 도면"
dartTrapSchematic,"다트 함정 도면"
drinkJarBeerSchematic,"맥주 도면"
drinkJarCoffeeSchematic,"커피 도면"
drinkJarEmpty,"빈 유리병"
drinkJarEmptyDesc,"물을 옮겨 담는 데 사용됩니다.\n[decea3]강, 호수, 수영장의 물은 너무 독성이 강해 물을 담을 수 없습니다.[-]"
drinkJarGoldenRodTeaSchematic,"미역취 차 도면"
drinkJarGrandpasAwesomeSauceSchematic,"할아버지의 끝내주는 소스 도면"
drinkJarGrandpasForgettingElixir,"할아버지의 깜빡깜빡 영약"
drinkJarGrandpasForgettingElixirDesc,"스킬 포인트를 초기화하여 재설정할 수 있습니다. 액션 스킬은 영향받지 않습니다."
drinkJarGrandpasLearningElixirSchematic,"할아버지의 학습 영약 도면"
drinkJarGrandpasMoonshineSchematic,"할아버지의 밀주 도면"
drinkJarPureMineralWater,"깨끗한 생수"
drinkJarRedTeaSchematic,"홍차 도면"
drinkYuccaJuiceSmoothieSchematic,"유카즙 스무디 도면"
drugAntibioticsSchematic,"항생제 도면"
drugHerbalAntibioticsSchematic,"허브 항생제 도면"
drugJailBreakers,"제일 브레이커"
drugJailBreakersDesc,"잠시동안 자물쇠 따는 기술이 증가하고 자물쇠 따개와 머리핀의 내구도를 [decea3]200%[-] 향상시킵니다."
electricfencepostSchematic,"전기 울타리 구역 도면"
electrictimerrelaySchematic,"전기 타이머 계전기 도면"
foodBakedPotatoSchematic,"구운 감자 도면"
foodBaconAndEggsSchematic,"베이컨과 달걀 도면"
foodBlueberryPieSchematic,"블루베리 파이 도면"
foodBoiledMeatSchematic,"삶은 고기 도면"
foodCanShamSchematic,"엉터리 고기 통조림 도면"
foodChiliDogSchematic,"칠리 핫도그 도면"
foodCornBreadSchematic,"옥수수빵 도면"
foodFishTacosSchematic,"생선 타코 도면"
foodGrilledMeatSchematic,"구운 고기 도면"
foodGumboStewSchematic,"검보 스튜 도면"
foodHoboStewSchematic,"재활용 스튜 도면"
foodMeatStewSchematic,"고기 스튜 도면"
foodPumpkinBreadSchematic,"호박빵 도면"
foodPumpkinCheesecakeSchematic,"호박 치즈케이크 도면"
foodPumpkinPieSchematic,"호박 파이 도면"
foodShepardsPieSchematic,"셰퍼드 파이 도면"
foodSpaghettiSchematic,"스파게티 도면"
foodSteakAndPotatoSchematic,"스테이크와 감자 식사 도면"
foodVegetableStewSchematic,"야채 스튜 도면"
forgeSchematic,"용광로 도면"
foodTunaFishGravyToastSchematic,"참치 그레이비 토스트 도면"
generatorbankSchematic,"전기공학 도면 세트"
generatorbankSchematicDesc,"도면을 읽으면 제작 방법을 배울 수 있습니다."
gunPistol,"권총"
gunPistolDesc,"킬로톤 탄약회사에서 만든 표준 민간용 권총입니다. 탄창이 있어야 제대로 작동할 겁니다."
gunBotT1JunkSledge,"휴대용 슬레지 포탑"
gunBotT1JunkSledgeDesc,"근접 공격용 포탑입니다. 보조 동작 키를 사용하여 배치할 수 있습니다."
gunBotT1JunkSledgeSchematic,"휴대용 슬레지 포탑 도면"
gunBotT2JunkTurret,"휴대용 고물 포탑"
gunBotT2JunkTurretDesc,"총기로 사용하거나 지면에 배치할 수 있습니다."
gunBotT2JunkTurretSchematic,"휴대용 고물 포탑 도면"
gunBotT3JunkDrone,"고철 드론"
gunBotT3JunkDroneDesc,"종말의 세계에서 충성스러운 동료가 될 수 있도록 프로그래밍 되었습니다. 약간의 아이템을 운반하거나 당신을 치료해 줄 겁니다."
gunBotT3JunkDroneSchematic,"고철 드론 도면"
gunBowT0PrimitiveBow,"원시 활"
gunBowT0PrimitiveBowDesc,"큰 피해를 주지는 않지만, 초반에 원거리 무기로서는 좋습니다."
gunBowT1WoodenBow,"사냥용 활"
gunBowT1WoodenBowDesc,"사냥해서 죽이기에 좋습니다."
gunBowT1WoodenBowSchematic,"사냥용 활 도면"
gunBowT3CompoundBow,"컴파운드 활"
gunBowT3CompoundBowDesc,"일반적인 활보다 더 정확하고 강력한 피해를 줍니다."
gunBowT3CompoundBowSchematic,"컴파운드 활 도면"
gunBowT1IronCrossbow,"철 석궁"
gunBowT1IronCrossbowDesc,"재장전 속도는 느리지만 활에 비해 더 많은 피해를 입히고 물속에서 발사할 수 있습니다."
gunBowT1IronCrossbowSchematic,"철 석궁 도면"
gunBowT3CompoundCrossbowSchematic,"컴파운드 석궁 도면"
gunExplosivesT3RocketLauncher,"로켓 런쳐"
gunExplosivesT3RocketLauncherDesc,"적에게 지옥과 혼돈을 맛 보여줄 수 있습니다."
gunExplosivesT3RocketLauncherSchematic,"로켓 런쳐 도면"
gunHandgunT0PipePistol,"녹슨 리볼버"
gunHandgunT0PipePistolDesc,"아직 작동하는 게 놀라울 정도입니다."
gunHandgunT0PipePistolBlueprint,"녹슨 리볼버 도면"
gunHandgunT1Pistol,"벵갈 M9"
gunHandgunT1PistolDesc,"제식 화기 권총입니다."
gunHandgunT1PistolSchematic,"벵갈 M9 도면"
gunHandgunT2Magnum44,"44구경 매그넘"
gunHandgunT2Magnum44Desc,"매우 강력하지만, 그만큼 격발음이 큰 리볼버입니다."
gunHandgunT2Magnum44Schematic,"44구경 매그넘 도면"
gunHandgunT3DesertVulture,"데저트 벌쳐"
gunHandgunT3DesertVultureDesc,"대구경 저속탄인 44구경을 사용하는 반자동 권총입니다."
gunHandgunT3DesertVultureSchematic,"데저트 벌쳐 도면"
gunHandgunT3SMG5,"SMG-5"
gunHandgunT3SMG5Desc,"제식 화기 기관단총입니다."
gunHandgunT3SMG5Schematic,"SMG-5 도면"
gunMGT0PipeMachineGun,"파이프 기관총"
gunMGT0PipeMachineGunDesc,"고철과 파이프로 만들었지만 용케 폭발하진 않습니다."
gunMGT0PipeMachineGunBlueprint,"파이프 기관총 도면"
gunMGT1AK47,"AK-47"
gunMGT1AK47Desc,"단순한 구조지만, 잘 다룰 수만 있다면 매우 강력할 것입니다."
gunMGT1AK47Schematic,"AK-47 도면"
gunMGT2TacticalAR,"전술 돌격 소총"
gunMGT2TacticalARDesc,"군용 돌격 소총입니다."
gunMGT2TacticalARSchematic,"전술 돌격 소총 도면"
gunMGT3M60,"M60 기관총"
gunMGT3M60Desc,"사용하기에는 조금 번거롭지만 자동 사격은 비견할 데 없습니다."
gunMGT3M60Schematic,"M60 기관총 도면"
gunRifleT0PipeRifle,"파이프 소총"
gunRifleT0PipeRifleDesc,"매우 원시적인 화기입니다."
gunRifleT0PipeRifleBlueprint,"파이프 소총 도면"
gunRifleT1HuntingRifle,"사냥용 소총"
gunRifleT1HuntingRifleDesc,"일부 농부들은 단순하면서도 강력한 화력을 지닌 이 소총을 선호하기도 합니다."
gunRifleT1HuntingRifleSchematic,"사냥용 소총 도면"
gunRifleT2LeverActionRifle,"레버 액션 라이플"
gunRifleT2LeverActionRifleDesc,"잔탄을 세며 사격해야 합니다."
gunRifleT2LeverActionRifleSchematic,"레버 액션 라이플 도면"
gunRifleT2MarksmanRifle,"지정사수 소총"
gunRifleT2MarksmanRifleDesc,"준수한 화력을 지닌 중간 티어 정도의 소총입니다."
gunRifleT3SniperRifle,"저격용 소총"
gunRifleT3SniperRifleDesc,"고정밀 소총은 원거리에서 적을 저격하기 위한 탁월한 선택일 것입니다."
gunRifleT3SniperRifleSchematic,"저격용 소총 도면"
gunShotgunT0PipeShotgun,"파이프 샷건"
gunShotgunT0PipeShotgunDesc,"원시적이며 사거리가 짧은 화기이지만 근거리에서 효과적입니다."
gunShotgunT0PipeShotgunBlueprint,"파이프 샷건 도면"
gunShotgunT1DoubleBarrel,"더블 배럴 샷건"
gunShotgunT1DoubleBarrelDesc,"근거리에서 사용한다면 대학살을 벌일 수 있습니다."
gunShotgunT1DoubleBarrelSchematic,"더블 배럴 샷건 도면"
gunShotgunT2PumpShotgun,"펌프 액션 샷건"
gunShotgunT2PumpShotgunDesc,"긴 총열을 가진 펌프 액션 장전 식 샷건입니다."
gunShotgunT2PumpShotgunSchematic,"펌프 액션 샷건 도면"
gunShotgunT3AutoShotgun,"반자동 샷건"
gunShotgunT3AutoShotgunDesc,"반자동 샷건은 근거리에서 매우 파괴적이며, 사로에 있는 모든 것을 짓이긴 고깃덩어리로 만들어 버릴 수 있습니다."
gunShotgunT3AutoShotgunSchematic,"반자동 샷건 도면"
leatherPoncho,"판초"
leatherPonchoDesc,"이 판초는 약간의 방어력을 제공하고 더운 날씨에서 살아남을 수 있도록 해 줍니다."
lightPlayerNoPowerGroupDesc,"추가 동력원 필요하지 않음"
medicalBloodDrawKit,"채혈 키트"
medicalBloodDrawKitDesc,"혈액 팩을 만드는데 쓰이는 채혈 키트입니다. 혈액 팩은 응급 치료 키트를 만드는 데 사용합니다."
medicalFirstAidBandageSchematic,"응급 치료용 붕대 도면"
